Household_ID,Total_HH_Income,HH_Weight
61757,155347,3235.98
41764,58012,1365.08
69849,41350,300.33
83476,115002,1766.16
60788,90000,1664.36
82362,209316,3654.25
60583,81115,3773.58
23077,53030,2606.92
82793,50010,3311.23
37526,166804,667.48
78418,122113,1689.61
30550,186880,747.91
80791,214717,1812.93
61956,77503,2921.22
61007,28750,4728.59
81765,194154,1897.36
25046,49065,958.59
73456,55585,2796.09
12013,127750,3788.53
63016,1500,2343.15
17674,114555,2104.25
82918,216880,2479.15
21770,35267,2579.05
19065,70010,2180.61
59169,103246,1452.38
56177,18370,1470.72
9781,225000,4815.94
71765,31450,488.06
46588,192011,3007.27
78155,93974,1873.8
29485,40501,2364.39
48134,68047,3381.45
32060,43099,948.92
85053,110000,3781.63
77949,157253,2298.83
84223,140433,2698.68
62421,125537,2081.68
24840,67582,2335.86
32731,145726,2834.21
78925,147519,2303.76
72539,75655,848.71
20748,112883,2614.05
74974,70265,866.14
40905,55728,1141.74
25610,98188,1848.12
17524,30114,3656.91
36298,96111,2903.02
75372,176225,906.14
2540,50121,451.82
47619,50125,4712.21
26258,96560,3814.09
77966,365325,2089.7
44472,13000,2614.28
54122,12000,1186.02
46746,20083,3962.42
85339,211053,1830.87
82753,203509,2019.63
89122,207025,556.21
19924,22316,3385.71
21413,121001,2216.21
64674,21960,2701.17
24049,113243,2422.88
70013,1976,345.15
14220,149153,4240.39
31716,167623,862.42
5194,105083,904.41
55403,17582,1143.38
85691,78100,2825.23
44125,123410,2806.44
54708,113600,767.39
74358,29900,1984.46
71328,28800,769.64
11984,197210,4146.39
68556,51950,608.09
3660,821200,1439.67
42024,53681,1766
47931,25000,3908.31
82335,174850,3548.78
88605,85160,896.04
69828,64155,194.63
26025,34928,3197.86
46305,80002,3151.14
45666,157385,3630.95
46733,103026,2040.05
83958,122595,2374.8
48603,230757,2044.32
35345,17652,4228.18
25793,333832,4597.76
9723,164400,2210.81
44328,100794,4021.5
21876,120024,2140.17
25551,118810,1519.44
61437,12001,1891.64
24033,132856,2764.75
54874,4160,766.69
9690,99586,2546.94
22612,116016,5094.4
70698,70008,1552.89
80803,62444,2731.73
17613,13950,3939.07
88987,175048,521.5
21932,75020,1656.48
66177,71803,344.35
81109,166300,1785.97
31243,343034,471.85
37928,104056,780.29
77709,414956,2255.22
87897,44200,454.3
5279,417163,1815.15
36678,600,3443.76
82396,289001,1931.42
54187,10200,688.19
84408,101997,1799.04
72566,74004,451.71
57036,22836,1479.69
61940,35000,2056.59
61873,40390,6063.17
4971,65126,1106.68
83503,79004,1954.07
65637,0,2741.5
20517,67669,4067.07
73907,114106,2572.87
28417,189305,576.14
7811,16182,2572.72
30974,47713,1107.06
79613,75812,1334.17
41249,364500,3016.8
32676,71157,5427.85
58815,52000,1196.91
49072,88662,3121.78
24317,60805,1980.37
83744,22492,2337.14
19738,261554,2653.92
30507,126030,1012.21
14983,19000,2425.86
18201,123000,2120.97
55401,17382,1455.35
34147,264603,355.17
77047,113540,1688.87
74100,18040,2632.28
36921,235370,1873.28
74059,42500,2863.91
35704,137122,1744.51
86286,101400,2230.05
23264,144001,2243.18
27612,251167,472.44
39253,135566,2981.94
16631,152056,3683.52
75820,83595,1109.35
66614,0,248.05
24384,151449,3012.35
61936,217056,4539.58
16068,192001,4101.46
72991,7501,2585.59
72533,56679,644.02
57139,77001,2055.23
3621,120601,1566.13
35606,101591,3570
75355,146221,879.69
29770,125203,945.93
20460,77210,3613.33
65039,57100,2808.65
53690,117040,1865.48
21757,115120,2162.21
13210,106192,3628.92
2349,48062,669.54
61834,114500,1964.1
51803,135000,961.38
63890,33500,2740.36
584,207029,927.73
87539,156228,211.92
87750,212542,280.07
81557,52000,2308.29
84914,220318,2916.29
68290,83280,441.56
21050,83252,2201.43
74070,65498,2166.29
46552,43602,2093.66
53939,81280,1049.32
46893,68040,3103.62
54345,56261,1525.21
15018,28182,3260.64
46209,49102,2416.17
751,58000,927.77
55087,60633,943.6
41519,183909,1020.72
85189,608200,3630.62
26088,20000,1888.14
14257,140800,4254.03
52879,342252,992.96
49081,40013,2400.23
38700,41110,827.98
42770,120282,2756.66
62343,35000,2085.43
