Household_ID,Total_HH_Income,HH_Weight,Survey_Year
62380,70002,,2022
42114,49400,,2022
70474,162000,,2022
84218,418242,,2022
61427,38093,,2022
82990,473401,,2022
61246,133016,,2022
23203,70000,,2022
83449,7075,,2022
37807,89042,,2022
79129,44576,,2022
30754,52665,,2022
81511,80200,,2022
62609,45002,,2022
61627,90400,,2022
82338,110981,,2022
25168,201366,,2022
74231,23171,,2022
12115,132250,,2022
63577,58337,,2022
17792,110110,,2022
83588,86000,,2022
21927,89001,,2022
19164,1002952,,2022
59798,110000,,2022
56750,185240,,2022
9820,101000,,2022
72458,26000,,2022
47020,126600,,2022
78886,82791,,2022
29711,64004,,2022
48566,24000,,2022
32217,62816,,2022
85822,227000,,2022
78633,87522,,2022
84937,195576,,2022
63103,75002,,2022
24968,336004,,2022
32891,29842,,2022
79585,210112,,2022
73264,105040,,2022
20875,47035,,2022
75459,150453,,2022
41228,129003,,2022
25743,154459,,2022
17701,78508,,2022
36519,435235,,2022
76021,25000,,2022
2548,133353,,2022
48008,41500,,2022
26464,25268,,2022
78672,60902,,2022
44884,91061,,2022
54688,125000,,2022
47125,51689,,2022
86103,58900,,2022
83416,168152,,2022
20081,9300,,2022
21583,63700,,2022
65257,85774,,2022
24202,274800,,2022
70615,215299,,2022
14305,131774,,2022
31962,106623,,2022
5218,100082,,2022
55897,13100,,2022
86428,117000,,2022
44472,13000,,2022
55226,39577,,2022
74894,210292,,2022
72156,28348,,2022
12071,94610,,2022
69319,34402,,2022
3678,211000,,2022
42369,21250,,2022
48304,202710,,2022
82969,18000,,2022
70453,206000,,2022
26164,7911,,2022
46776,199423,,2022
46010,1e+05,,2022
47113,121000,,2022
84675,67009,,2022
49015,76740,,2022
35624,61512,,2022
25994,134610,,2022
9803,207450,,2022
44751,25002,,2022
22032,9882,,2022
25702,139062,,2022
62033,165842,,2022
24185,199396,,2022
55410,61008,,2022
9742,149600,,2022
22739,294056,,2022
71414,42000,,2022
81541,106510,,2022
17768,21000,,2022
22087,208955,,2022
66897,39482,,2022
81759,50000,,2022
31453,166308,,2022
